K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
64,56,56,64,1,2,2,1,16,2,1,7,1,1,8,0.022125
64,56,56,64,1,4,16,1,8,4,1,1,1,1,64,0.018115
64,56,56,64,1,2,8,1,32,1,1,1,2,1,32,0.01261
64,56,56,64,1,4,2,1,16,2,1,1,2,1,8,0.01555
64,56,56,64,1,28,2,1,1,32,1,8,1,1,8,0.026515
64,56,56,64,1,14,8,1,16,2,1,1,1,1,4,0.04733
64,56,56,64,1,8,2,1,8,4,1,7,2,1,8,0.01952
64,56,56,64,1,2,4,1,4,8,1,1,2,1,1,0.019055000000000002
64,56,56,64,1,8,2,1,1,32,1,14,1,1,4,0.019854999999999998
64,56,56,64,1,4,2,1,4,8,1,14,1,1,16,0.01613
64,56,56,64,1,2,2,1,16,2,1,2,4,1,4,0.016114999999999997
64,56,56,64,1,8,8,1,8,4,1,1,1,1,64,0.01728
64,56,56,64,1,2,4,1,16,2,1,1,4,1,64,0.012
64,56,56,64,1,28,4,1,8,4,1,2,1,1,2,0.03011
64,56,56,64,1,56,2,1,1,32,1,4,1,1,32,0.070995
64,56,56,64,1,28,2,1,4,8,1,1,4,1,16,0.017075
64,56,56,64,1,2,2,1,16,2,1,1,2,1,4,0.019185
64,56,56,64,1,28,2,1,4,8,1,1,2,1,32,0.036945
64,56,56,64,1,2,2,1,2,16,1,2,2,1,8,0.017715
64,56,56,64,1,28,4,1,2,16,1,4,1,1,2,0.028655
64,56,56,64,1,14,2,1,2,16,1,14,1,1,4,0.0295
64,56,56,64,1,2,2,1,4,8,1,4,1,1,1,0.02512
64,56,56,64,1,2,4,1,32,1,1,1,8,1,16,0.01158
64,56,56,64,1,2,8,1,8,4,1,1,1,1,8,0.012719999999999999
64,56,56,64,1,4,2,1,4,8,1,1,1,1,8,0.015855
64,56,56,64,1,2,2,1,4,8,1,2,2,1,1,0.0252
64,56,56,64,1,2,2,1,16,2,1,7,4,1,2,0.02474
64,56,56,64,1,2,4,1,32,1,1,7,2,1,2,0.02163
64,56,56,64,1,2,4,1,8,4,1,4,2,1,16,0.01162
64,56,56,64,1,2,2,1,8,4,1,4,2,1,64,0.01448
64,56,56,64,1,14,2,1,32,1,1,1,4,1,1,0.02982
64,56,56,64,1,2,4,1,2,16,1,8,1,1,64,0.012095
64,56,56,64,1,8,4,1,8,4,1,1,1,1,32,0.023025
64,56,56,64,1,2,2,1,4,8,1,8,2,1,16,0.0144
64,56,56,64,1,2,2,1,8,4,1,4,2,1,16,0.01446
64,56,56,64,1,2,2,1,16,2,1,1,2,1,32,0.017105000000000002
64,56,56,64,1,4,8,1,16,2,1,1,1,1,4,0.015535
64,56,56,64,1,4,16,1,8,4,1,7,1,1,2,0.03075
64,56,56,64,1,2,2,1,8,4,1,4,2,1,8,0.015155
