K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
1024,264,264,1024,1,6,32,1,16,2,1,2,2,1,16,23.14208
1024,264,264,1024,1,6,32,1,16,2,1,2,2,1,32,39.440063
1024,264,264,1024,1,6,32,1,16,2,1,2,4,1,1,24.290432
1024,264,264,1024,1,6,32,1,16,2,1,2,4,1,2,20.109407
1024,264,264,1024,1,6,32,1,16,2,1,2,4,1,4,18.712799
1024,264,264,1024,1,6,32,1,16,2,1,2,4,1,8,19.128321
1024,264,264,1024,1,6,32,1,16,2,1,2,4,1,16,21.057535
1024,264,264,1024,1,6,32,1,16,2,1,3,1,1,1,24.518848
1024,264,264,1024,1,6,32,1,16,2,1,3,1,1,2,25.668991
1024,264,264,1024,1,6,32,1,16,2,1,3,1,1,4,26.563648
1024,264,264,1024,1,6,32,1,16,2,1,3,1,1,8,31.473215
1024,264,264,1024,1,6,32,1,16,2,1,3,1,1,16,40.31488
1024,264,264,1024,1,6,32,1,16,2,1,3,1,1,32,62.878368
1024,264,264,1024,1,6,32,1,16,2,1,3,2,1,1,31.576033
1024,264,264,1024,1,6,32,1,16,2,1,3,2,1,2,26.157057
1024,264,264,1024,1,6,32,1,16,2,1,3,2,1,4,25.173504
1024,264,264,1024,1,6,32,1,16,2,1,3,2,1,8,26.755232
1024,264,264,1024,1,6,32,1,16,2,1,3,2,1,16,28.807167
1024,264,264,1024,1,6,32,1,16,2,1,6,1,1,1,32.826527
1024,264,264,1024,1,6,32,1,16,2,1,6,1,1,2,27.576033
1024,264,264,1024,1,6,32,1,16,2,1,6,1,1,4,34.533535
1024,264,264,1024,1,6,32,1,16,2,1,6,1,1,8,34.447456
1024,264,264,1024,1,6,32,1,16,2,1,6,1,1,16,40.163326
1024,264,264,1024,1,6,32,1,32,1,1,1,1,1,1,21.153984
1024,264,264,1024,1,6,32,1,32,1,1,1,1,1,2,26.177536
1024,264,264,1024,1,6,32,1,32,1,1,1,1,1,4,33.629826
1024,264,264,1024,1,6,32,1,32,1,1,1,1,1,8,53.680126
1024,264,264,1024,1,6,32,1,32,1,1,1,1,1,16,87.000031
1024,264,264,1024,1,6,32,1,32,1,1,1,1,1,32,121.878334
