K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,68,68,256,1,2,2,17,32,1,1,16,0.189965
128,68,68,256,1,4,1,1,32,2,2,4,0.57331
128,68,68,256,1,4,1,1,32,1,4,1,0.58822
128,68,68,256,1,1,1,4,32,4,1,1,0.555265
128,68,68,256,1,2,2,2,32,1,1,4,0.719535
128,68,68,256,1,1,1,1,32,4,2,8,1.6798899999999999
128,68,68,256,1,1,1,1,32,1,4,1,1.45493
128,68,68,256,1,2,1,2,32,1,2,16,0.753615
128,68,68,256,1,2,1,1,32,2,2,2,0.8314250000000001
128,68,68,256,1,2,1,4,32,2,1,2,0.31296
128,68,68,256,1,2,1,2,32,4,2,8,0.5834550000000001
128,68,68,256,1,2,4,17,32,1,1,8,0.18089499999999997
128,68,68,256,1,2,1,1,32,1,1,32,4.402925
128,68,68,256,1,4,1,1,32,2,1,16,1.36672
128,68,68,256,1,1,1,4,32,1,1,2,0.76571
128,68,68,256,1,4,2,4,32,1,1,4,0.36666
128,68,68,256,1,2,1,4,32,2,1,16,0.45896000000000003
128,68,68,256,1,1,1,1,32,1,1,16,3.9192299999999998
128,68,68,256,1,2,2,17,32,1,1,8,0.16464
128,68,68,256,1,4,1,17,32,1,1,8,0.130995
128,68,68,256,1,2,1,17,32,1,1,1,0.27139
128,68,68,256,1,2,1,1,32,1,2,2,0.82723
128,68,68,256,1,1,2,17,32,1,1,1,0.312145
128,68,68,256,1,4,1,4,32,1,1,32,1.0836350000000001
128,68,68,256,1,1,2,2,32,1,1,2,1.1095350000000002
128,68,68,256,1,1,2,4,32,2,1,2,0.451535
128,68,68,256,1,2,1,2,32,1,1,16,1.40336
128,68,68,256,1,2,1,2,32,4,2,2,0.499155
128,68,68,256,1,2,1,17,32,2,1,2,0.15506999999999999
128,68,68,256,1,1,1,1,32,1,4,8,1.5276299999999998
128,68,68,256,1,4,1,1,32,1,2,16,1.07944
128,68,68,256,1,2,1,2,32,1,1,32,2.18867
128,68,68,256,1,4,1,2,32,1,2,32,1.006605
128,68,68,256,1,2,1,4,32,2,1,32,0.7260949999999999
128,68,68,256,1,4,1,1,32,4,4,8,0.7681100000000001
128,68,68,256,1,1,2,2,32,1,2,16,0.62424
128,68,68,256,1,4,2,2,32,2,1,16,0.72419
128,68,68,256,1,2,1,1,32,4,1,8,1.24045
128,68,68,256,1,1,1,17,32,1,1,32,0.42461
128,68,68,256,1,4,1,2,32,1,1,8,0.7959350000000001
128,68,68,256,1,2,1,1,32,4,2,16,1.4748350000000001
128,68,68,256,1,2,2,17,32,2,1,32,0.288595
128,68,68,256,1,4,1,4,32,1,1,16,0.70286
128,68,68,256,1,2,1,2,32,1,2,4,0.4849
128,68,68,256,1,4,2,4,32,1,1,1,0.378195
128,68,68,256,1,2,2,2,32,1,1,16,1.12525
128,68,68,256,1,4,1,1,32,4,1,32,2.394355
128,68,68,256,1,4,1,4,32,1,1,1,0.550815
128,68,68,256,1,2,1,2,32,1,1,2,0.821345
128,68,68,256,1,2,1,17,32,2,1,16,0.17216
128,68,68,256,1,2,2,17,32,1,1,2,0.174815
128,68,68,256,1,2,1,1,32,1,1,1,1.5734249999999999
128,68,68,256,1,1,1,2,32,4,1,16,1.197165
128,68,68,256,1,4,1,17,32,2,1,1,0.30496
128,68,68,256,1,2,1,4,32,4,1,2,0.31598499999999996
128,68,68,256,1,2,1,17,32,1,1,16,0.22701
128,68,68,256,1,4,1,1,32,4,1,16,1.38304
128,68,68,256,1,4,1,4,32,4,1,4,0.5897600000000001
128,68,68,256,1,2,1,1,32,4,2,32,2.28739
128,68,68,256,1,2,1,2,32,4,1,2,0.5058050000000001
128,68,68,256,1,4,4,4,32,1,1,4,0.366545
128,68,68,256,1,2,1,1,32,4,1,16,1.76608
128,68,68,256,1,4,1,4,32,2,1,1,0.40315
128,68,68,256,1,4,1,1,32,4,2,2,0.551805
128,68,68,256,1,1,1,4,32,1,1,16,1.02202
128,68,68,256,1,2,1,1,32,2,2,8,1.04979
128,68,68,256,1,1,1,2,32,1,2,4,0.779405
128,68,68,256,1,1,4,4,32,1,1,1,0.61142
128,68,68,256,1,2,1,17,32,2,1,32,0.23712
128,68,68,256,1,4,1,2,32,2,2,8,0.45229
128,68,68,256,1,1,1,1,32,4,1,2,1.57757
128,68,68,256,1,4,1,1,32,2,2,2,0.5312
128,68,68,256,1,2,2,2,32,1,1,1,0.8124800000000001
128,68,68,256,1,2,4,17,32,1,1,16,0.24884499999999998
128,68,68,256,1,2,1,2,32,1,2,32,1.16598
128,68,68,256,1,1,1,1,32,1,4,4,1.38045
128,68,68,256,1,1,2,2,32,1,1,8,1.25229
128,68,68,256,1,1,1,2,32,4,1,1,0.89069
128,68,68,256,1,2,1,1,32,1,4,2,0.808335
128,68,68,256,1,4,1,17,32,2,1,16,0.17763
128,68,68,256,1,1,1,4,32,2,1,2,0.463935
128,68,68,256,1,1,1,1,32,4,4,8,1.74077
128,68,68,256,1,4,2,2,32,2,2,16,0.53731
128,68,68,256,1,1,1,1,32,1,2,2,1.41541
128,68,68,256,1,4,1,1,32,4,4,2,0.5940799999999999
128,68,68,256,1,4,1,1,32,4,4,1,0.6683399999999999
128,68,68,256,1,1,1,1,32,2,4,8,1.60806
128,68,68,256,1,1,2,4,32,2,1,4,0.40272
128,68,68,256,1,4,1,1,32,4,2,1,0.626865
128,68,68,256,1,4,1,2,32,2,1,2,0.41536
128,68,68,256,1,4,1,2,32,4,2,1,0.5523
128,68,68,256,1,4,1,2,32,4,2,32,1.0362749999999998
128,68,68,256,1,1,1,17,32,1,1,2,0.26112
128,68,68,256,1,1,2,2,32,2,1,16,0.92443
128,68,68,256,1,4,2,2,32,1,2,8,0.44347
128,68,68,256,1,4,1,2,32,2,1,1,0.54982
128,68,68,256,1,4,1,1,32,2,1,2,0.58982
128,68,68,256,1,1,2,2,32,2,2,1,0.5603400000000001
128,68,68,256,1,4,2,17,32,1,1,2,0.21651
128,68,68,256,1,1,2,4,32,1,1,2,0.6660299999999999
128,68,68,256,1,4,1,2,32,2,2,2,0.40683
128,68,68,256,1,2,2,2,32,1,1,8,0.83115
128,68,68,256,1,1,2,4,32,1,1,16,0.8429949999999999
128,68,68,256,1,4,1,1,32,1,1,2,0.9403349999999999
128,68,68,256,1,2,1,17,32,2,1,4,0.16403
128,68,68,256,1,2,2,2,32,2,2,32,0.75219
128,68,68,256,1,2,1,2,32,2,2,32,1.187885
128,68,68,256,1,2,2,2,32,1,2,4,0.30923
128,68,68,256,1,1,1,4,32,1,1,32,1.42352
128,68,68,256,1,1,1,17,32,4,1,16,0.26510500000000004
128,68,68,256,1,2,1,1,32,2,4,2,0.83491
128,68,68,256,1,4,2,2,32,1,2,4,0.44858
128,68,68,256,1,2,1,1,32,2,4,8,1.029825
128,68,68,256,1,1,1,17,32,2,1,16,0.24784
128,68,68,256,1,4,2,2,32,1,2,32,0.7807850000000001
128,68,68,256,1,4,2,17,32,2,1,16,0.192365
128,68,68,256,1,1,1,1,32,2,2,16,1.99702
128,68,68,256,1,1,1,2,32,4,2,32,1.536495
128,68,68,256,1,2,1,17,32,1,1,32,0.32128
128,68,68,256,1,1,1,1,32,4,4,2,1.4859200000000001
128,68,68,256,1,1,2,4,32,2,1,16,0.50963
