K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
512,7,7,256,1,4,1,1,32,1,1,1,0.226445
512,7,7,256,1,2,1,1,32,1,7,8,0.05904
512,7,7,256,1,1,1,1,32,1,1,2,0.21163500000000002
512,7,7,256,1,8,1,7,32,1,1,1,0.224175
512,7,7,256,1,16,1,1,32,1,1,1,0.332595
512,7,7,256,1,2,1,7,32,1,1,32,0.035635
512,7,7,256,1,1,1,7,32,1,1,32,0.04614
512,7,7,256,1,4,1,7,32,7,1,4,0.07062
512,7,7,256,1,2,1,1,32,7,1,8,0.08595
512,7,7,256,1,16,1,1,32,7,1,16,0.11341
512,7,7,256,1,4,1,1,32,7,1,32,0.13168
512,7,7,256,1,4,1,7,32,7,1,2,0.1208
512,7,7,256,1,16,1,7,32,1,1,32,0.07616
512,7,7,256,1,4,1,1,32,7,1,4,0.0808
512,7,7,256,1,16,1,1,32,1,1,32,0.18491000000000002
512,7,7,256,1,16,1,1,32,1,1,4,0.13555
512,7,7,256,1,16,1,7,32,7,1,16,0.090225
512,7,7,256,1,8,1,7,32,7,1,32,0.045715
512,7,7,256,1,8,1,1,32,7,1,4,0.107155
512,7,7,256,1,2,1,7,32,7,1,32,0.027555
512,7,7,256,1,1,1,1,32,7,1,8,0.136895
512,7,7,256,1,16,1,7,32,7,1,2,0.223825
512,7,7,256,1,8,1,7,32,1,1,16,0.047855
512,7,7,256,1,1,1,7,32,1,1,16,0.03658
512,7,7,256,1,16,1,7,32,1,1,4,0.13859
512,7,7,256,1,1,1,1,32,1,1,16,0.216785
512,7,7,256,1,4,1,1,32,1,1,16,0.109265
512,7,7,256,1,1,1,1,32,1,7,4,0.08586
512,7,7,256,1,16,1,1,32,7,1,32,0.14272
512,7,7,256,1,4,1,1,32,1,7,4,0.0592
512,7,7,256,1,4,1,1,32,1,7,8,0.04422
512,7,7,256,1,16,1,1,32,7,1,8,0.113165
512,7,7,256,1,4,1,7,32,1,1,32,0.03275
512,7,7,256,1,8,1,7,32,1,1,8,0.05875
512,7,7,256,1,4,1,7,32,7,1,16,0.03392
512,7,7,256,1,1,1,7,32,1,1,2,0.096915
512,7,7,256,1,1,1,1,32,7,1,16,0.14746
512,7,7,256,1,2,1,7,32,1,1,8,0.035315
512,7,7,256,1,2,1,1,32,1,7,2,0.082575
512,7,7,256,1,8,1,1,32,1,1,32,0.16237
512,7,7,256,1,8,1,7,32,7,1,1,0.25821
512,7,7,256,1,16,1,1,32,1,7,2,0.18750499999999998
512,7,7,256,1,2,1,7,32,1,1,16,0.026225
512,7,7,256,1,16,1,1,32,1,7,1,0.30746
512,7,7,256,1,1,1,7,32,1,1,4,0.053085
512,7,7,256,1,4,1,1,32,1,1,8,0.097965
512,7,7,256,1,2,1,1,32,1,1,16,0.14419
512,7,7,256,1,4,1,1,32,1,1,2,0.12472
512,7,7,256,1,8,1,7,32,7,1,8,0.065395
512,7,7,256,1,8,1,7,32,7,1,16,0.052
512,7,7,256,1,8,1,1,32,7,1,8,0.08195
512,7,7,256,1,2,1,1,32,1,7,16,0.07728
512,7,7,256,1,2,1,1,32,7,1,2,0.120175
512,7,7,256,1,1,1,1,32,1,7,16,0.10366500000000001
512,7,7,256,1,2,1,7,32,1,1,2,0.1017
512,7,7,256,1,1,1,1,32,1,1,1,0.21322
512,7,7,256,1,2,1,1,32,1,1,8,0.113025
512,7,7,256,1,4,1,1,32,7,1,1,0.23651
512,7,7,256,1,16,1,1,32,7,1,1,0.37360000000000004
512,7,7,256,1,2,1,1,32,7,1,32,0.148175
512,7,7,256,1,8,1,1,32,1,1,8,0.08141
512,7,7,256,1,2,1,7,32,7,1,4,0.06064
512,7,7,256,1,1,1,1,32,1,7,32,0.14125
512,7,7,256,1,2,1,7,32,1,1,1,0.19149
512,7,7,256,1,2,1,1,32,7,1,4,0.07654
512,7,7,256,1,2,1,1,32,1,7,32,0.103375
512,7,7,256,1,1,1,7,32,7,1,2,0.102605
512,7,7,256,1,1,1,1,32,1,7,8,0.095105
512,7,7,256,1,8,1,1,32,1,1,1,0.29073499999999997
512,7,7,256,1,1,1,7,32,7,1,16,0.026625
512,7,7,256,1,2,1,7,32,1,1,4,0.056915
512,7,7,256,1,8,1,1,32,1,7,8,0.06475500000000001
512,7,7,256,1,4,1,7,32,7,1,8,0.04579
512,7,7,256,1,4,1,7,32,7,1,1,0.22128
512,7,7,256,1,16,1,1,32,1,7,32,0.09949
512,7,7,256,1,8,1,1,32,7,1,32,0.12752
512,7,7,256,1,2,1,1,32,7,1,16,0.108115
512,7,7,256,1,2,1,7,32,7,1,8,0.03658
512,7,7,256,1,4,1,7,32,1,1,1,0.20033499999999999
512,7,7,256,1,8,1,1,32,1,7,32,0.09411
512,7,7,256,1,2,1,1,32,7,1,1,0.22183999999999998
512,7,7,256,1,8,1,1,32,7,1,16,0.084495
512,7,7,256,1,16,1,7,32,7,1,8,0.1095
512,7,7,256,1,4,1,1,32,1,7,16,0.0624
512,7,7,256,1,1,1,7,32,1,1,8,0.03238
512,7,7,256,1,4,1,1,32,1,7,2,0.09363
512,7,7,256,1,1,1,7,32,7,1,4,0.05568
512,7,7,256,1,8,1,7,32,1,1,4,0.08176
512,7,7,256,1,2,1,1,32,1,7,4,0.050765000000000005
512,7,7,256,1,4,1,1,32,1,7,32,0.09981
512,7,7,256,1,8,1,7,32,7,1,2,0.14785500000000001
512,7,7,256,1,1,1,1,32,7,1,2,0.12154
512,7,7,256,1,8,1,7,32,1,1,2,0.129135
512,7,7,256,1,16,1,1,32,1,7,4,0.127695
512,7,7,256,1,16,1,1,32,1,7,16,0.096945
512,7,7,256,1,4,1,1,32,7,1,16,0.08602
512,7,7,256,1,8,1,1,32,7,1,1,0.302765
512,7,7,256,1,1,1,1,32,7,1,1,0.21992
512,7,7,256,1,16,1,7,32,1,1,1,0.36384
512,7,7,256,1,1,1,7,32,7,1,1,0.19683
512,7,7,256,1,1,1,7,32,7,1,8,0.03344
512,7,7,256,1,8,1,1,32,1,7,1,0.22659
512,7,7,256,1,2,1,7,32,7,1,1,0.20579
512,7,7,256,1,8,1,1,32,1,1,2,0.168465
512,7,7,256,1,4,1,7,32,7,1,32,0.0324
512,7,7,256,1,1,1,1,32,7,1,4,0.125025
512,7,7,256,1,2,1,7,32,7,1,2,0.10877
512,7,7,256,1,16,1,7,32,7,1,4,0.148015
512,7,7,256,1,4,1,1,32,1,7,1,0.163665
512,7,7,256,1,2,1,1,32,1,1,1,0.21322
512,7,7,256,1,4,1,7,32,1,1,2,0.10976
512,7,7,256,1,16,1,7,32,1,1,2,0.213295
512,7,7,256,1,2,1,1,32,1,7,1,0.150285
512,7,7,256,1,16,1,1,32,1,1,2,0.19808
512,7,7,256,1,16,1,1,32,7,1,2,0.22109
512,7,7,256,1,1,1,1,32,1,1,4,0.17291499999999999
512,7,7,256,1,1,1,1,32,1,1,32,0.2775
512,7,7,256,1,16,1,7,32,1,1,16,0.083725
512,7,7,256,1,1,1,1,32,1,7,2,0.08218
512,7,7,256,1,16,1,1,32,1,1,8,0.109265
512,7,7,256,1,16,1,1,32,7,1,4,0.14856
512,7,7,256,1,8,1,1,32,1,7,16,0.05805
512,7,7,256,1,8,1,1,32,7,1,2,0.1721
512,7,7,256,1,4,1,1,32,1,1,32,0.171665
512,7,7,256,1,16,1,1,32,1,1,16,0.10899
512,7,7,256,1,4,1,1,32,7,1,2,0.129805
512,7,7,256,1,1,1,7,32,7,1,32,0.032435
512,7,7,256,1,1,1,1,32,1,1,8,0.18849500000000002
512,7,7,256,1,8,1,1,32,1,7,2,0.13261
512,7,7,256,1,16,1,7,32,1,1,8,0.101965
512,7,7,256,1,4,1,7,32,1,1,8,0.0424
512,7,7,256,1,2,1,1,32,1,1,4,0.124255
512,7,7,256,1,16,1,7,32,7,1,32,0.08077
512,7,7,256,1,4,1,7,32,1,1,16,0.03309
512,7,7,256,1,4,1,1,32,1,1,4,0.078175
512,7,7,256,1,8,1,7,32,1,1,32,0.04547
512,7,7,256,1,2,1,1,32,1,1,32,0.204915
512,7,7,256,1,4,1,7,32,1,1,4,0.06472
512,7,7,256,1,16,1,1,32,1,7,8,0.10208
512,7,7,256,1,8,1,7,32,7,1,4,0.09270500000000001
512,7,7,256,1,8,1,1,32,1,1,16,0.12487999999999999
512,7,7,256,1,2,1,7,32,7,1,16,0.02669
512,7,7,256,1,2,1,1,32,1,1,2,0.11661
512,7,7,256,1,1,1,7,32,1,1,1,0.18545499999999998
512,7,7,256,1,8,1,1,32,1,1,4,0.108
512,7,7,256,1,1,1,1,32,1,7,1,0.14915
512,7,7,256,1,8,1,1,32,1,7,4,0.08592
512,7,7,256,1,4,1,1,32,7,1,8,0.065875
512,7,7,256,1,16,1,7,32,7,1,1,0.36896
512,7,7,256,1,1,1,1,32,7,1,32,0.192755
