K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
128,68,68,256,1,2,4,1,8,4,1,1,4,1,128,0.13824
128,68,68,256,1,2,4,1,2,16,1,17,1,1,2,0.10752
128,68,68,256,1,34,4,1,8,4,1,1,4,1,1,0.19149
128,68,68,256,1,4,2,1,4,8,1,1,1,1,64,0.09933
128,68,68,256,1,4,2,1,1,32,1,2,1,1,4,0.07683
128,68,68,256,1,2,8,1,4,8,1,17,1,1,16,0.06144
128,68,68,256,1,2,8,1,4,8,1,1,2,1,16,0.07882
128,68,68,256,1,2,2,1,2,16,1,4,1,1,4,0.08296
128,68,68,256,1,2,8,1,8,4,1,1,1,1,256,0.22221
128,68,68,256,1,2,2,1,8,4,1,1,1,1,8,0.09728
128,68,68,256,1,2,8,1,2,16,1,4,1,1,2,0.09728
128,68,68,256,1,2,16,1,4,8,1,2,1,1,4,0.07421
128,68,68,256,1,16,4,1,1,32,1,1,1,1,64,0.42086
128,68,68,256,1,2,16,1,8,4,1,17,1,1,8,0.10854
128,68,68,256,1,4,4,1,1,32,1,2,1,1,8,0.06605
128,68,68,256,1,8,2,1,2,16,1,1,1,1,256,0.2217
128,68,68,256,1,34,2,1,4,8,1,1,2,1,64,0.22016
128,68,68,256,1,4,2,1,2,16,1,2,2,1,64,0.08806
128,68,68,256,1,4,2,1,2,16,1,1,1,1,8,0.07786
128,68,68,256,1,68,2,1,1,32,1,1,2,1,4,0.136175
128,68,68,256,1,4,2,1,1,32,1,4,1,1,1,0.09011
128,68,68,256,1,34,2,1,1,32,1,4,2,1,1,0.20992
128,68,68,256,1,2,2,1,4,8,1,2,8,1,2,0.11878
128,68,68,256,1,4,4,1,4,8,1,1,2,1,2,0.09114
128,68,68,256,1,34,2,1,2,16,1,2,1,1,2,0.11162
128,68,68,256,1,4,2,1,2,16,1,2,1,1,64,0.092145
128,68,68,256,1,34,2,1,2,16,1,2,2,1,8,0.07578
128,68,68,256,1,2,2,1,1,32,1,4,2,1,16,0.086
128,68,68,256,1,2,4,1,4,8,1,1,4,1,32,0.08803
128,68,68,256,1,4,4,1,4,8,1,1,2,1,16,0.05837
128,68,68,256,1,2,4,1,2,16,1,4,1,1,64,0.09418
128,68,68,256,1,4,2,1,1,32,1,1,2,1,8,0.10237
128,68,68,256,1,2,8,1,8,4,1,1,4,1,1,0.09315
128,68,68,256,1,2,4,1,2,16,1,2,1,1,16,0.071695
128,68,68,256,1,34,4,1,4,8,1,2,2,1,1,0.19149
128,68,68,256,1,34,2,1,2,16,1,1,1,1,2,0.11776
128,68,68,256,1,8,2,1,2,16,1,17,1,1,2,0.12902
128,68,68,256,1,2,8,1,4,8,1,2,1,1,2,0.09213
128,68,68,256,1,16,2,1,1,32,1,1,2,1,1,0.1608
128,68,68,256,1,2,2,1,4,8,1,2,2,1,256,0.12595
128,68,68,256,1,68,2,1,1,32,1,4,1,1,2,0.153585
128,68,68,256,1,4,8,1,2,16,1,2,1,1,16,0.06038
128,68,68,256,1,2,2,1,1,32,1,1,2,1,1,0.192
128,68,68,256,1,68,2,1,1,32,1,2,2,1,32,0.28464
128,68,68,256,1,34,2,1,1,32,1,2,2,1,16,0.07066
128,68,68,256,1,34,2,1,4,8,1,1,1,1,32,0.29494
128,68,68,256,1,2,8,1,4,8,1,1,1,1,32,0.13821
128,68,68,256,1,34,2,1,4,8,1,2,2,1,8,0.07782
128,68,68,256,1,2,4,1,1,32,1,8,1,1,64,0.09933
128,68,68,256,1,34,2,1,2,16,1,1,1,1,4,0.09216
128,68,68,256,1,2,4,1,8,4,1,1,4,1,2,0.09216
128,68,68,256,1,2,4,1,1,32,1,1,1,1,32,1.417745
128,68,68,256,1,2,8,1,2,16,1,2,1,1,64,0.44696
128,68,68,256,1,68,2,1,4,8,1,1,4,1,32,0.34717
128,68,68,256,1,2,16,1,4,8,1,1,1,1,2,0.10855999999999999
128,68,68,256,1,34,2,1,2,16,1,2,4,1,1,0.209395
128,68,68,256,1,2,4,1,2,16,1,1,1,1,1,0.131085
128,68,68,256,1,34,4,1,4,8,1,2,2,1,8,0.21453
