K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
1024,264,264,1024,1,6,32,1,16,2,1,2,2,1,16,23.899168
1024,264,264,1024,1,6,32,1,16,2,1,2,2,1,32,29.710367
1024,264,264,1024,1,6,32,1,16,2,1,2,4,1,1,23.751648
1024,264,264,1024,1,6,32,1,16,2,1,2,4,1,2,18.777121
1024,264,264,1024,1,6,32,1,16,2,1,2,4,1,4,17.469473
1024,264,264,1024,1,6,32,1,16,2,1,2,4,1,8,18.35216
1024,264,264,1024,1,6,32,1,16,2,1,2,4,1,16,18.489344
1024,264,264,1024,1,6,32,1,16,2,1,3,1,1,1,23.870497
1024,264,264,1024,1,6,32,1,16,2,1,3,1,1,2,24.401953
1024,264,264,1024,1,6,32,1,16,2,1,3,1,1,4,26.419231
1024,264,264,1024,1,6,32,1,16,2,1,3,1,1,8,28.429279
1024,264,264,1024,1,6,32,1,16,2,1,3,1,1,16,36.920319
1024,264,264,1024,1,6,32,1,16,2,1,3,1,1,32,47.155201
1024,264,264,1024,1,6,32,1,16,2,1,3,2,1,1,30.012447
1024,264,264,1024,1,6,32,1,16,2,1,3,2,1,2,25.387009
1024,264,264,1024,1,6,32,1,16,2,1,3,2,1,4,23.359455
1024,264,264,1024,1,6,32,1,16,2,1,3,2,1,8,26.238976
1024,264,264,1024,1,6,32,1,16,2,1,3,2,1,16,25.587681
1024,264,264,1024,1,6,32,1,16,2,1,6,1,1,1,31.384607
1024,264,264,1024,1,6,32,1,16,2,1,6,1,1,2,26.328064
1024,264,264,1024,1,6,32,1,16,2,1,6,1,1,4,31.140863
1024,264,264,1024,1,6,32,1,16,2,1,6,1,1,8,29.34272
1024,264,264,1024,1,6,32,1,16,2,1,6,1,1,16,39.9688
1024,264,264,1024,1,6,32,1,32,1,1,1,1,1,1,20.679712
1024,264,264,1024,1,6,32,1,32,1,1,1,1,1,2,28.213217
1024,264,264,1024,1,6,32,1,32,1,1,1,1,1,4,31.724577
1024,264,264,1024,1,6,32,1,32,1,1,1,1,1,8,49.579006
1024,264,264,1024,1,6,32,1,32,1,1,1,1,1,16,71.968803
1024,264,264,1024,1,6,32,1,32,1,1,1,1,1,32,93.726685
1024,264,264,1024,1,6,32,1,32,1,1,1,2,1,1,18.989056
1024,264,264,1024,1,6,32,1,32,1,1,1,2,1,2,18.783199
1024,264,264,1024,1,6,32,1,32,1,1,1,2,1,4,21.410784
1024,264,264,1024,1,6,32,1,32,1,1,1,2,1,8,22.744064
1024,264,264,1024,1,6,32,1,32,1,1,1,2,1,16,35.159039
1024,264,264,1024,1,6,32,1,32,1,1,1,2,1,32,48.20483
1024,264,264,1024,1,6,32,1,32,1,1,1,4,1,1,17.311745
1024,264,264,1024,1,6,32,1,32,1,1,1,4,1,2,17.535999
1024,264,264,1024,1,6,32,1,32,1,1,1,4,1,4,16.945152
1024,264,264,1024,1,6,32,1,32,1,1,1,4,1,8,17.659872
1024,264,264,1024,1,6,32,1,32,1,1,1,4,1,16,24.003584
1024,264,264,1024,1,6,32,1,32,1,1,1,4,1,32,29.798368
1024,264,264,1024,1,6,32,1,32,1,1,1,8,1,1,23.731232
1024,264,264,1024,1,6,32,1,32,1,1,1,8,1,2,18.761761
1024,264,264,1024,1,6,32,1,32,1,1,1,8,1,4,17.463327
1024,264,264,1024,1,6,32,1,32,1,1,1,8,1,8,18.367456
1024,264,264,1024,1,6,32,1,32,1,1,1,8,1,16,18.493408
1024,264,264,1024,1,6,32,1,32,1,1,3,1,1,1,26.391552
1024,264,264,1024,1,6,32,1,32,1,1,3,1,1,2,32.258049
1024,264,264,1024,1,6,32,1,32,1,1,3,1,1,4,36.825119
1024,264,264,1024,1,6,32,1,32,1,1,3,1,1,8,51.771393
1024,264,264,1024,1,6,32,1,32,1,1,3,1,1,16,69.638176
1024,264,264,1024,1,6,32,1,32,1,1,3,2,1,1,31.388672
1024,264,264,1024,1,6,32,1,32,1,1,3,2,1,2,26.323936
1024,264,264,1024,1,6,32,1,32,1,1,3,2,1,4,31.137793
1024,264,264,1024,1,6,32,1,32,1,1,3,2,1,8,29.332512
1024,264,264,1024,1,6,32,1,32,1,1,3,2,1,16,39.999489
1024,264,264,1024,1,8,2,1,1,32,1,1,1,1,1,31.877119
1024,264,264,1024,1,8,2,1,1,32,1,1,1,1,2,29.087744
1024,264,264,1024,1,8,2,1,1,32,1,1,1,1,4,25.332735
1024,264,264,1024,1,8,2,1,1,32,1,1,1,1,8,25.641985
1024,264,264,1024,1,8,2,1,1,32,1,1,1,1,16,32.933922
1024,264,264,1024,1,8,2,1,1,32,1,1,1,1,32,66.579422
1024,264,264,1024,1,8,2,1,1,32,1,1,1,1,64,164.535294
1024,264,264,1024,1,8,2,1,1,32,1,1,1,1,128,288.665588
1024,264,264,1024,1,8,2,1,1,32,1,1,2,1,1,27.452448
1024,264,264,1024,1,8,2,1,1,32,1,1,2,1,2,27.011072
1024,264,264,1024,1,8,2,1,1,32,1,1,2,1,4,24.768513
1024,264,264,1024,1,8,2,1,1,32,1,1,2,1,8,25.120768
1024,264,264,1024,1,8,2,1,1,32,1,1,2,1,16,32.240608
1024,264,264,1024,1,8,2,1,1,32,1,1,2,1,32,81.62915
1024,264,264,1024,1,8,2,1,1,32,1,1,2,1,64,214.116318
1024,264,264,1024,1,8,2,1,1,32,1,1,4,1,1,25.289761
1024,264,264,1024,1,8,2,1,1,32,1,1,4,1,2,25.836576
1024,264,264,1024,1,8,2,1,1,32,1,1,4,1,4,24.279039
1024,264,264,1024,1,8,2,1,1,32,1,1,4,1,8,25.105408
1024,264,264,1024,1,8,2,1,1,32,1,1,4,1,16,26.955776
1024,264,264,1024,1,8,2,1,1,32,1,1,4,1,32,60.929024
1024,264,264,1024,1,8,2,1,1,32,1,1,8,1,1,26.613792
1024,264,264,1024,1,8,2,1,1,32,1,1,8,1,2,28.123137
1024,264,264,1024,1,8,2,1,1,32,1,1,8,1,4,26.783775
1024,264,264,1024,1,8,2,1,1,32,1,1,8,1,8,27.510817
1024,264,264,1024,1,8,2,1,1,32,1,1,8,1,16,41.71059
1024,264,264,1024,1,8,2,1,1,32,1,1,16,1,1,34.711521
1024,264,264,1024,1,8,2,1,1,32,1,1,16,1,2,34.196449
1024,264,264,1024,1,8,2,1,1,32,1,1,16,1,4,46.405632
1024,264,264,1024,1,8,2,1,1,32,1,1,16,1,8,38.768639
1024,264,264,1024,1,8,2,1,1,32,1,2,1,1,1,24.744961
1024,264,264,1024,1,8,2,1,1,32,1,2,1,1,2,23.966721
1024,264,264,1024,1,8,2,1,1,32,1,2,1,1,4,20.246529
1024,264,264,1024,1,8,2,1,1,32,1,2,1,1,8,19.854368
1024,264,264,1024,1,8,2,1,1,32,1,2,1,1,16,20.217855
1024,264,264,1024,1,8,2,1,1,32,1,2,1,1,32,26.003424
1024,264,264,1024,1,8,2,1,1,32,1,2,1,1,64,51.247105
1024,264,264,1024,1,8,2,1,1,32,1,2,1,1,128,123.090973
1024,264,264,1024,1,8,2,1,1,32,1,2,2,1,1,21.820383
1024,264,264,1024,1,8,2,1,1,32,1,2,2,1,2,22.007809
1024,264,264,1024,1,8,2,1,1,32,1,2,2,1,4,19.127296
1024,264,264,1024,1,8,2,1,1,32,1,2,2,1,8,18.311136
1024,264,264,1024,1,8,2,1,1,32,1,2,2,1,16,19.341312
1024,264,264,1024,1,8,2,1,1,32,1,2,2,1,32,27.012096
1024,264,264,1024,1,8,2,1,1,32,1,2,2,1,64,50.888702
1024,264,264,1024,1,8,2,1,1,32,1,2,4,1,1,23.936001
1024,264,264,1024,1,8,2,1,1,32,1,2,4,1,2,22.540319
1024,264,264,1024,1,8,2,1,1,32,1,2,4,1,4,20.328447
1024,264,264,1024,1,8,2,1,1,32,1,2,4,1,8,20.173792
1024,264,264,1024,1,8,2,1,1,32,1,2,4,1,16,21.633024
1024,264,264,1024,1,8,2,1,1,32,1,2,4,1,32,31.115232
1024,264,264,1024,1,8,2,1,1,32,1,2,8,1,1,29.930529
1024,264,264,1024,1,8,2,1,1,32,1,2,8,1,2,28.672001
1024,264,264,1024,1,8,2,1,1,32,1,2,8,1,4,23.007263
1024,264,264,1024,1,8,2,1,1,32,1,2,8,1,8,30.699553
1024,264,264,1024,1,8,2,1,1,32,1,2,8,1,16,26.435616
1024,264,264,1024,1,8,2,1,1,32,1,2,16,1,1,41.383938
1024,264,264,1024,1,8,2,1,1,32,1,2,16,1,2,38.699039
1024,264,264,1024,1,8,2,1,1,32,1,2,16,1,4,30.37488
1024,264,264,1024,1,8,2,1,1,32,1,3,1,1,1,26.967039
1024,264,264,1024,1,8,2,1,1,32,1,3,1,1,2,24.709152
1024,264,264,1024,1,8,2,1,1,32,1,3,1,1,4,20.925407
1024,264,264,1024,1,8,2,1,1,32,1,3,1,1,8,20.254688
1024,264,264,1024,1,8,2,1,1,32,1,3,1,1,16,20.869152
1024,264,264,1024,1,8,2,1,1,32,1,3,1,1,32,23.481344
1024,264,264,1024,1,8,2,1,1,32,1,3,1,1,64,34.412575
1024,264,264,1024,1,8,2,1,1,32,1,3,1,1,128,81.977379
1024,264,264,1024,1,8,2,1,1,32,1,3,2,1,1,26.108959
1024,264,264,1024,1,8,2,1,1,32,1,3,2,1,2,24.943584
1024,264,264,1024,1,8,2,1,1,32,1,3,2,1,4,20.247553
1024,264,264,1024,1,8,2,1,1,32,1,3,2,1,8,19.774431
1024,264,264,1024,1,8,2,1,1,32,1,3,2,1,16,21.264416
1024,264,264,1024,1,8,2,1,1,32,1,3,2,1,32,23.827456
1024,264,264,1024,1,8,2,1,1,32,1,3,2,1,64,36.234272
1024,264,264,1024,1,8,2,1,1,32,1,3,4,1,1,27.449345
1024,264,264,1024,1,8,2,1,1,32,1,3,4,1,2,26.127359
1024,264,264,1024,1,8,2,1,1,32,1,3,4,1,4,21.145632
1024,264,264,1024,1,8,2,1,1,32,1,3,4,1,8,21.531679
