K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
512,7,7,256,1,4,1,7,32,7,1,1,0.26931
512,7,7,256,1,16,1,1,32,1,1,8,0.11264
512,7,7,256,1,16,1,1,32,1,1,32,0.11469
512,7,7,256,1,16,1,1,32,7,1,16,0.11162
512,7,7,256,1,16,1,7,32,7,1,32,0.08499
512,7,7,256,1,1,1,7,32,7,1,4,0.05837
512,7,7,256,1,16,1,7,32,1,1,32,0.07987
512,7,7,256,1,2,1,1,32,1,7,2,0.08803
512,7,7,256,1,4,1,1,32,7,1,1,0.28365
512,7,7,256,1,2,1,7,32,1,1,4,0.06042
512,7,7,256,1,2,1,1,32,7,1,8,0.06246
512,7,7,256,1,1,1,1,32,1,7,1,0.1577
512,7,7,256,1,8,1,7,32,1,1,4,0.10547
512,7,7,256,1,2,1,1,32,1,1,1,0.22016
512,7,7,256,1,1,1,7,32,1,1,8,0.033775
512,7,7,256,1,1,1,7,32,7,1,32,0.03072
512,7,7,256,1,16,1,7,32,7,1,4,0.15667
512,7,7,256,1,8,1,1,32,1,1,8,0.07885
512,7,7,256,1,2,1,7,32,7,1,1,0.21709
512,7,7,256,1,2,1,7,32,7,1,4,0.06349
512,7,7,256,1,4,1,7,32,1,1,16,0.03686
512,7,7,256,1,8,1,1,32,1,7,32,0.06451
512,7,7,256,1,4,1,7,32,7,1,4,0.08397
512,7,7,256,1,4,1,7,32,1,1,2,0.13722
512,7,7,256,1,2,1,1,32,7,1,4,0.07475
512,7,7,256,1,16,1,1,32,1,7,32,0.09677
512,7,7,256,1,1,1,1,32,7,1,8,0.09011
512,7,7,256,1,4,1,1,32,1,1,8,0.06042
512,7,7,256,1,2,1,1,32,1,7,16,0.0471
512,7,7,256,1,8,1,7,32,7,1,1,0.32358
512,7,7,256,1,4,1,1,32,1,7,4,0.0727
512,7,7,256,1,1,1,1,32,1,1,4,0.12186
512,7,7,256,1,2,1,1,32,7,1,1,0.2304
512,7,7,256,1,2,1,1,32,1,7,8,0.03786
512,7,7,256,1,2,1,1,32,1,1,4,0.06758
512,7,7,256,1,2,1,1,32,1,1,16,0.08906
512,7,7,256,1,16,1,7,32,1,1,2,0.22323
512,7,7,256,1,1,1,7,32,1,1,16,0.02458
512,7,7,256,1,2,1,1,32,7,1,16,0.082925
512,7,7,256,1,2,1,7,32,1,1,2,0.10752
